,,,,,,Time Differences,,,,"Mean Spring, Neap and Sea Level Heights",,,,,,,,,,
,,Lat.,S.,Long.,E.,High Water,,Low Water,,,,(metres),,,Range,,,,,
No.,Port,°,´,°,´,Mean,Range,Mean,Range,MHWS,MHWN,MLWN,MLWS,MSL,Ratio,,,,,
6496,Spit Wharf,45,47,170,43,-0013,-0017 to -0009,-0024,-0029 to -0018,2.0,1.7,0.4,0.1,1.0,0.95,,,,,
6499,Green Island,45,57,170,23,-0039,-0048 -0032,-0038,-0045 to -0030,2.0,1.7,0.4,0.1,1.0,0.95,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6366,PORT TARANAKI,39,03,174,02,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,3.5,2.8,1.1,0.3,1.96,,,,,,
6384,Ahipara Bay,35,10,173,07,-0015,-,-0015,-,3.6,2.9,1.1,0.4,2.0,1.00,*,,,,
6370,Aotea Harbour,38,00,174,50,-0004,-,-0004,-,3.7,2.9,1.2,0.4,2.1,1.03,*,,,,
6386,Cape Maria van Diemen,34,29,172,38,-0035,-,-0035,-,2.4,2.1,0.6,0.3,1.4,0.66,*,,,,
6443a,Karehana Bay - Plimmerton Boating Club,41,04,174,51,-0007,-0247 to +0144,-0018,-0318 to +0120,1.7,1.1,0.9,0.3,1.0,0.44,,,,,
6369,Kawhia,38,04,174,49,+0024,+0002 to +0036,0000,-0011 to +0009,3.6,2.8,1.0,0.2,2.0,1.06,,,,,
6442,Makara Beach,41,13,174,42,-0040,-,-0040,-,1.3,0.9,0.7,0.3,0.8,0.31,*,,,,
6445,Manawatu River Entrance,40,28,175,13,-0020,-,-0020,-,2.4,1.8,0.9,0.2,1.3,0.69,*,,,,
6444b,Otaki River Entrance,40,45,175,06,-0020,-,-0020,-,-,-,-,-,-,-,*,,,,
6443b,Paraparaumu Beach,40,54,174,59,-0020,-,-0020,-,-,-,-,-,-,-,*,,,,
6443,Porirua Harbour - Mana Cruising Club,41,06,174,52,+0003,-0225 to +0050,-0010,-0242 to +0118,1.7,1.2,0.9,0.4,1.0,0.41,,,,,
6371,Raglan,37,48,174,53,+0031,+0008 to +0046,+0014,+0003 to +0025,3.3,2.6,0.9,0.1,1.8,1.00,,,,,
6444,Waikanae River Entrance,40,52,175,00,0000,-0155 to +0050,-0004,-0152 to +0214,1.9,1.2,0.6,0.0,0.9,0.59,*,,,,
6372,Waikato River Entrance,37,24,174,45,-0004,-,-0004,-,3.7,3.0,1.2,0.5,2.1,1.00,*,,,,
6444c,Waitarere Beach,40,34,175,11,-0020,-,-0020,-,-,-,-,-,-,-,*,,,,
,Hokianga Harbour,,,,,,,,,,,,,,,,,,,
6382,Kohukohu,35,22,173,32,+0036,-0020 to +0103,+0033,-0010 to +0053,3.6,2.8,1.0,0.1,1.9,1.09,,,,,
6380c,Omapere,35,32,173,23,-0005,-0032 to +0028,+0001,-0022 to +0022,2.9,2.3,0.8,0.1,1.6,0.88,,,,,
6381,Opononi,35,30,173,24,+0007,-0031 to +0031,+0010,-0029 to +0032,3.0,2.3,0.8,0.1,1.6,0.91,,,,,
6381a,Rawene,35,24,173,30,+0027,-0023 to +0052,+0027,-0014 to +0048,3.5,2.7,1.0,0.1,1.9,1.06,,,,,
6381b,Te Karaka,35,25,173,25,+0017,-0020 to +0044,+0021,-0018 to +0043,3.2,2.5,0.9,0.1,1.7,0.97,,,,,
,Kaipara Harbour,,,,,,,,,,,,,,,,,,,
6380b,Dargaville,35,56,173,52,+0228,,+0346,,-,-,-,-,-,-,*,,,,
6378a,Helensville,36,40,174,27,+0222,-,+0249,-,-,-,-,-,-,-,*,,,,
6376,Island Point,36,14,174,05,+0046,-,+0046,-,3.6,2.8,1.1,0.3,1.9,1.03,,,,,
6377,Pouto Point,36,22,174,11,+0042,+0024 to +0054,+0037,+0019 to +0047,3.5,2.8,1.0,0.4,1.9,0.97,,,,,
6378,Shelly Beach,36,34,174,23,+0053,-0002 to +0156,+0050,-0008 to +0157,3.8,3.1,0.8,0.1,2.0,1.16,,,,,
6380,Te Kopuru,36,02,173,56,+0156,-,+0236,-,3.4,3.0,-,-,-,-,*,,,,
6380a,Tikinui,36,07,173,58,+0138,+0044 to +0216,+0155,+0046 to +0131,3.8,2.9,0.8,0.1,2.0,1.16,,,,,
6379,Tinopai,36,15,174,15,+0059,+0008 to +0132,+0059,+0014 to +0129,3.8,2.7,0.9,0.1,1.9,1.16,,,,,
6379a,Whakapirau,36,09,174,15,+0125,-,+0107,-,3.9,3.0,1.2,0.3,2.1,1.13,,,,,
,Kapiti Island,,,,,,,,,,,,,,,,,,,
6444a,Waiorua Bay,40,50,174,57,+0003,-0111 to +0042,+0001,-0156 to +0138,1.9,1.2,0.7,0.1,0.9,0.56,,,,,
